[2021-03-28 17:42:05.301] [basic_logger] [info] Device Extension: VK_KHR_maintenance3 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.304] [basic_logger] [info] Device Extension: VK_KHR_multiview (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.305] [basic_logger] [info] Device Extension: VK_KHR_pipeline_executable_properties (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.305] [basic_logger] [info] Device Extension: VK_KHR_push_descriptor (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.306] [basic_logger] [info] Device Extension: VK_KHR_relaxed_block_layout (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.307] [basic_logger] [info] Device Extension: VK_KHR_sampler_mirror_clamp_to_edge (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.3
[2021-03-28 17:42:05.308] [basic_logger] [info] Device Extension: VK_KHR_sampler_ycbcr_conversion (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.14
[2021-03-28 17:42:05.308] [basic_logger] [info] Device Extension: VK_KHR_separate_depth_stencil_layouts (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.309] [basic_logger] [info] Device Extension: VK_KHR_shader_atomic_int64 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.309] [basic_logger] [info] Device Extension: VK_KHR_shader_clock (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.310] [basic_logger] [info] Device Extension: VK_KHR_shader_draw_parameters (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.311] [basic_logger] [info] Device Extension: VK_KHR_shader_float16_int8 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.311] [basic_logger] [info] Device Extension: VK_KHR_shader_float_controls (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.4
[2021-03-28 17:42:05.312] [basic_logger] [info] Device Extension: VK_KHR_shader_non_semantic_info (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.312] [basic_logger] [info] Device Extension: VK_KHR_shader_subgroup_extended_types (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.315] [basic_logger] [info] Device Extension: VK_KHR_spirv_1_4 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.316] [basic_logger] [info] Device Extension: VK_KHR_storage_buffer_storage_class (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.317] [basic_logger] [info] Device Extension: VK_KHR_swapchain (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.70
[2021-03-28 17:42:05.318] [basic_logger] [info] Device Extension: VK_KHR_swapchain_mutable_format (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.319] [basic_logger] [info] Device Extension: VK_KHR_timeline_semaphore (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.320] [basic_logger] [info] Device Extension: VK_KHR_uniform_buffer_standard_layout (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.320] [basic_logger] [info] Device Extension: VK_KHR_variable_pointers (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.321] [basic_logger] [info] Device Extension: VK_KHR_vulkan_memory_model (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.3
[2021-03-28 17:42:05.321] [basic_logger] [info] Device Extension: VK_KHR_win32_keyed_mutex (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.321] [basic_logger] [info] Device Extension: VK_EXT_blend_operation_advanced (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.322] [basic_logger] [info] Device Extension: VK_EXT_buffer_device_address (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.322] [basic_logger] [info] Device Extension: VK_EXT_calibrated_timestamps (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.323] [basic_logger] [info] Device Extension: VK_EXT_conditional_rendering (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.325] [basic_logger] [info] Device Extension: VK_EXT_conservative_rasterization (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.326] [basic_logger] [info] Device Extension: VK_EXT_custom_border_color (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.12
[2021-03-28 17:42:05.326] [basic_logger] [info] Device Extension: VK_EXT_depth_clip_enable (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.327] [basic_logger] [info] Device Extension: VK_EXT_depth_range_unrestricted (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.327] [basic_logger] [info] Device Extension: VK_EXT_descriptor_indexing (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.328] [basic_logger] [info] Device Extension: VK_EXT_discard_rectangles (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
